Algorithm,Data size,Time taken(ms),Stdev(ms),Samples
Linear Search,10000,12.0509,7.35308,1000,
Binary Search,10000,0.161863,0.191012,1000,
Hash Table,10000,0.133151,0.105793,1000,
Binary Search Tree,10000,43.3963,26.2429,1000,
Linear Search,20000,25.7333,14.3493,1000,
Binary Search,20000,0.167851,0.029212,1000,
Hash Table,20000,0.226583,0.310652,1000,
Binary Search Tree,20000,90.9039,51.807,1000,
Linear Search,30000,39.1039,21.8045,1000,
Binary Search,30000,0.176933,0.0340547,1000,
Hash Table,30000,0.220125,0.129501,1000,
Binary Search Tree,30000,138.837,77.4832,1000,
Linear Search,40000,50.0468,29.4713,1000,
Binary Search,40000,0.181464,0.0310397,1000,
Hash Table,40000,0.25063,0.12313,1000,
Binary Search Tree,40000,177.465,104.728,1000,
Linear Search,50000,62.2996,36.6445,1000,
Binary Search,50000,0.185042,0.0315707,1000,
Hash Table,50000,0.235743,0.127502,1000,
Binary Search Tree,50000,223.679,132.359,1000,
Linear Search,60000,78.5742,45.9197,1000,
Binary Search,60000,0.187777,0.0322713,1000,
Hash Table,60000,0.286868,0.132024,1000,
Binary Search Tree,60000,273.058,158.225,1000,
Linear Search,70000,87.6501,49.479,1000,
Binary Search,70000,0.196811,0.0349035,1000,
Hash Table,70000,0.346651,0.621954,1000,
Binary Search Tree,70000,313.891,178.285,1000,
Linear Search,80000,101.129,58.0934,1000,
Binary Search,80000,0.192609,0.034024,1000,
Hash Table,80000,0.280796,0.257531,1000,
Binary Search Tree,80000,362.506,208.934,1000,
Linear Search,90000,111.119,64.8017,1000,
Binary Search,90000,0.20686,0.360215,1000,
Hash Table,90000,0.375971,0.40032,1000,
Binary Search Tree,90000,402.566,243.796,1000,
Linear Search,100000,122.511,73.0475,1000,
Binary Search,100000,0.199422,0.0333024,1000,
Hash Table,100000,0.310841,0.304333,1000,
Binary Search Tree,100000,440.534,264.74,1000,
